Files already downloaded and verified
Files already downloaded and verified
Epoch: 9, Iteration:   260 loss: 0.858
Epoch: 9, Iteration:   280 loss: 0.943
Epoch: 9, Iteration:   300 loss: 0.892
Epoch: 9, Iteration:   320 loss: 0.994
Epoch: 9, Iteration:   340 loss: 0.864
Epoch: 9, Iteration:   360 loss: 0.841
Epoch: 9, Iteration:   380 loss: 0.822
Epoch: 9, Iteration:   400 loss: 0.881
Epoch: 9, Iteration:   420 loss: 0.871
Epoch: 9, Iteration:   440 loss: 0.909
Epoch: 9, Iteration:   460 loss: 0.922
Epoch: 9, Iteration:   480 loss: 0.950
Epoch: 9, Iteration:   500 loss: 0.924
Epoch: 9, Iteration:   520 loss: 0.919
Epoch: 9, Iteration:   540 loss: 0.897
Epoch: 9, Iteration:   560 loss: 0.851
Epoch: 9, Iteration:   580 loss: 0.955
Epoch: 9, Iteration:   600 loss: 0.945
Epoch: 9, Iteration:   620 loss: 0.917
Epoch: 9, Iteration:   640 loss: 0.901
Epoch: 9, Iteration:   660 loss: 0.906
Epoch: 9, Iteration:   680 loss: 0.861
Epoch: 9, Iteration:   700 loss: 0.876
Epoch: 9, Iteration:   720 loss: 0.876
Epoch: 9, Iteration:   740 loss: 0.956
Epoch: 9, Iteration:   760 loss: 0.882
Epoch: 9, Iteration:   780 loss: 0.872
Loss: 1.116
Accuracy of the network on the 10000 test images: 60 %
Accuracy of plane : 66 %
Accuracy of   car : 80 %
Accuracy of  bird : 48 %
Accuracy of   cat : 49 %
Accuracy of  deer : 52 %
Accuracy of   dog : 37 %
Accuracy of  frog : 76 %
Accuracy of horse : 73 %
Accuracy of  ship : 70 %
Accuracy of truck : 61 %
Epoch: 10, Iteration:     0 loss: 0.036
Epoch: 10, Iteration:    20 loss: 0.795
Epoch: 10, Iteration:    40 loss: 0.775
Epoch: 10, Iteration:    60 loss: 0.827
Epoch: 10, Iteration:    80 loss: 0.788
Epoch: 10, Iteration:   100 loss: 0.787
Epoch: 10, Iteration:   120 loss: 0.772
Epoch: 10, Iteration:   140 loss: 0.820
Epoch: 10, Iteration:   160 loss: 0.817
Epoch: 10, Iteration:   180 loss: 0.822
Epoch: 10, Iteration:   200 loss: 0.827
Epoch: 10, Iteration:   220 loss: 0.747
Epoch: 10, Iteration:   240 loss: 0.754
Epoch: 10, Iteration:   260 loss: 0.817
Epoch: 10, Iteration:   280 loss: 0.868
Epoch: 10, Iteration:   300 loss: 0.936
Epoch: 10, Iteration:   320 loss: 0.880
Epoch: 10, Iteration:   340 loss: 0.828
Epoch: 10, Iteration:   360 loss: 0.804
Epoch: 10, Iteration:   380 loss: 0.701
Epoch: 10, Iteration:   400 loss: 0.715
Epoch: 10, Iteration:   420 loss: 0.775
Epoch: 10, Iteration:   440 loss: 0.749
Epoch: 10, Iteration:   460 loss: 0.806
Epoch: 10, Iteration:   480 loss: 0.863
Epoch: 10, Iteration:   500 loss: 0.741
Epoch: 10, Iteration:   520 loss: 0.708
Epoch: 10, Iteration:   540 loss: 0.697
Epoch: 10, Iteration:   560 loss: 0.729
Epoch: 10, Iteration:   580 loss: 0.725
Epoch: 10, Iteration:   600 loss: 0.752
Epoch: 10, Iteration:   620 loss: 0.703
Epoch: 10, Iteration:   640 loss: 0.802
Epoch: 10, Iteration:   660 loss: 0.781
Epoch: 10, Iteration:   680 loss: 0.722
Epoch: 10, Iteration:   700 loss: 0.746
Epoch: 10, Iteration:   720 loss: 0.779
Epoch: 10, Iteration:   740 loss: 0.713
Epoch: 10, Iteration:   760 loss: 0.780
Epoch: 10, Iteration:   780 loss: 0.769
Loss: 1.432
Accuracy of the network on the 10000 test images: 53 %
Accuracy of plane : 69 %
Accuracy of   car : 20 %
Accuracy of  bird :  7 %
Accuracy of   cat : 75 %
Accuracy of  deer : 43 %
Accuracy of   dog : 33 %
Accuracy of  frog : 53 %
Accuracy of horse : 70 %
Accuracy of  ship : 70 %
Accuracy of truck : 87 %
Epoch: 11, Iteration:     0 loss: 0.040
Epoch: 11, Iteration:    20 loss: 0.726
Epoch: 11, Iteration:    40 loss: 0.705
Epoch: 11, Iteration:    60 loss: 0.690
Epoch: 11, Iteration:    80 loss: 0.699
Epoch: 11, Iteration:   100 loss: 0.688
Epoch: 11, Iteration:   120 loss: 0.760
Epoch: 11, Iteration:   140 loss: 0.784
Epoch: 11, Iteration:   160 loss: 0.780
Epoch: 11, Iteration:   180 loss: 0.734
Epoch: 11, Iteration:   200 loss: 0.724
Epoch: 11, Iteration:   220 loss: 0.674
Epoch: 11, Iteration:   240 loss: 0.673
Epoch: 11, Iteration:   260 loss: 0.657
Epoch: 11, Iteration:   280 loss: 0.650
Epoch: 11, Iteration:   300 loss: 0.641
Epoch: 11, Iteration:   320 loss: 0.651
Epoch: 11, Iteration:   340 loss: 0.710
Epoch: 11, Iteration:   360 loss: 0.727
