Files already downloaded and verified
Files already downloaded and verified
Epoch: 5, Iteration:   260 loss: 1.264
Epoch: 5, Iteration:   280 loss: 1.334
Epoch: 5, Iteration:   300 loss: 1.349
Epoch: 5, Iteration:   320 loss: 1.323
Epoch: 5, Iteration:   340 loss: 1.344
Epoch: 5, Iteration:   360 loss: 1.317
Epoch: 5, Iteration:   380 loss: 1.285
Epoch: 5, Iteration:   400 loss: 1.227
Epoch: 5, Iteration:   420 loss: 1.281
Epoch: 5, Iteration:   440 loss: 1.268
Epoch: 5, Iteration:   460 loss: 1.259
Epoch: 5, Iteration:   480 loss: 1.246
Epoch: 5, Iteration:   500 loss: 1.233
Epoch: 5, Iteration:   520 loss: 1.243
Epoch: 5, Iteration:   540 loss: 1.259
Epoch: 5, Iteration:   560 loss: 1.257
Epoch: 5, Iteration:   580 loss: 1.181
Epoch: 5, Iteration:   600 loss: 1.328
Epoch: 5, Iteration:   620 loss: 1.376
Epoch: 5, Iteration:   640 loss: 1.312
Epoch: 5, Iteration:   660 loss: 1.267
Epoch: 5, Iteration:   680 loss: 1.255
Epoch: 5, Iteration:   700 loss: 1.347
Epoch: 5, Iteration:   720 loss: 1.300
Epoch: 5, Iteration:   740 loss: 1.267
Epoch: 5, Iteration:   760 loss: 1.293
Epoch: 5, Iteration:   780 loss: 1.269
Loss: 1.540
Accuracy of the network on the 10000 test images: 44 %
Accuracy of plane : 41 %
Accuracy of   car : 14 %
Accuracy of  bird : 37 %
Accuracy of   cat : 27 %
Accuracy of  deer : 16 %
Accuracy of   dog : 76 %
Accuracy of  frog : 32 %
Accuracy of horse : 35 %
Accuracy of  ship : 82 %
Accuracy of truck : 75 %
Epoch: 6, Iteration:     0 loss: 0.076
Epoch: 6, Iteration:    20 loss: 1.309
Epoch: 6, Iteration:    40 loss: 1.249
Epoch: 6, Iteration:    60 loss: 1.215
Epoch: 6, Iteration:    80 loss: 1.251
Epoch: 6, Iteration:   100 loss: 1.220
Epoch: 6, Iteration:   120 loss: 1.200
Epoch: 6, Iteration:   140 loss: 1.200
Epoch: 6, Iteration:   160 loss: 1.244
Epoch: 6, Iteration:   180 loss: 1.214
Epoch: 6, Iteration:   200 loss: 1.157
Epoch: 6, Iteration:   220 loss: 1.221
Epoch: 6, Iteration:   240 loss: 1.190
Epoch: 6, Iteration:   260 loss: 1.163
Epoch: 6, Iteration:   280 loss: 1.143
Epoch: 6, Iteration:   300 loss: 1.206
Epoch: 6, Iteration:   320 loss: 1.193
Epoch: 6, Iteration:   340 loss: 1.136
Epoch: 6, Iteration:   360 loss: 1.229
Epoch: 6, Iteration:   380 loss: 1.198
Epoch: 6, Iteration:   400 loss: 1.188
Epoch: 6, Iteration:   420 loss: 1.130
Epoch: 6, Iteration:   440 loss: 1.199
Epoch: 6, Iteration:   460 loss: 1.202
Epoch: 6, Iteration:   480 loss: 1.165
Epoch: 6, Iteration:   500 loss: 1.183
Epoch: 6, Iteration:   520 loss: 1.202
Epoch: 6, Iteration:   540 loss: 1.129
Epoch: 6, Iteration:   560 loss: 1.171
Epoch: 6, Iteration:   580 loss: 1.228
Epoch: 6, Iteration:   600 loss: 1.171
Epoch: 6, Iteration:   620 loss: 1.172
Epoch: 6, Iteration:   640 loss: 1.138
Epoch: 6, Iteration:   660 loss: 1.154
Epoch: 6, Iteration:   680 loss: 1.111
Epoch: 6, Iteration:   700 loss: 1.153
Epoch: 6, Iteration:   720 loss: 1.119
Epoch: 6, Iteration:   740 loss: 1.119
Epoch: 6, Iteration:   760 loss: 1.116
Epoch: 6, Iteration:   780 loss: 1.161
Loss: 1.349
Accuracy of the network on the 10000 test images: 50 %
Accuracy of plane : 80 %
Accuracy of   car : 90 %
Accuracy of  bird : 34 %
Accuracy of   cat : 34 %
Accuracy of  deer :  9 %
Accuracy of   dog : 66 %
Accuracy of  frog : 50 %
Accuracy of horse : 64 %
Accuracy of  ship : 55 %
Accuracy of truck : 38 %
Epoch     6: reducing learning rate of group 0 to 1.0000e-02.
Epoch: 7, Iteration:     0 loss: 0.056
Epoch: 7, Iteration:    20 loss: 1.191
Epoch: 7, Iteration:    40 loss: 1.073
Epoch: 7, Iteration:    60 loss: 0.949
Epoch: 7, Iteration:    80 loss: 0.972
Epoch: 7, Iteration:   100 loss: 0.923
Epoch: 7, Iteration:   120 loss: 0.881
Epoch: 7, Iteration:   140 loss: 0.890
Epoch: 7, Iteration:   160 loss: 0.868
Epoch: 7, Iteration:   180 loss: 0.899
Epoch: 7, Iteration:   200 loss: 0.856
Epoch: 7, Iteration:   220 loss: 0.926
Epoch: 7, Iteration:   240 loss: 0.798
Epoch: 7, Iteration:   260 loss: 0.808
Epoch: 7, Iteration:   280 loss: 0.838
Epoch: 7, Iteration:   300 loss: 0.770
Epoch: 7, Iteration:   320 loss: 0.805
Epoch: 7, Iteration:   340 loss: 0.778
Epoch: 7, Iteration:   360 loss: 0.868
Epoch: 7, Iteration:   380 loss: 0.840
Epoch: 7, Iteration:   400 loss: 0.851
Epoch: 7, Iteration:   420 loss: 0.811
Epoch: 7, Iteration:   440 loss: 0.821
Epoch: 7, Iteration:   460 loss: 0.740
Epoch: 7, Iteration:   480 loss: 0.813
Epoch: 7, Iteration:   500 loss: 0.787
Epoch: 7, Iteration:   520 loss: 0.768
Epoch: 7, Iteration:   540 loss: 0.775
Epoch: 7, Iteration:   560 loss: 0.807
Epoch: 7, Iteration:   580 loss: 0.831
Epoch: 7, Iteration:   600 loss: 0.803
Epoch: 7, Iteration:   620 loss: 0.778
Epoch: 7, Iteration:   640 loss: 0.771
Epoch: 7, Iteration:   660 loss: 0.728
Epoch: 7, Iteration:   680 loss: 0.757
Epoch: 7, Iteration:   700 loss: 0.727
Epoch: 7, Iteration:   720 loss: 0.789
Epoch: 7, Iteration:   740 loss: 0.774
Epoch: 7, Iteration:   760 loss: 0.720
Epoch: 7, Iteration:   780 loss: 0.773
Loss: 1.080
Accuracy of the network on the 10000 test images: 62 %
Accuracy of plane : 75 %
Accuracy of   car : 76 %
Accuracy of  bird : 54 %
Accuracy of   cat : 49 %
Accuracy of  deer : 49 %
Accuracy of   dog : 50 %
Accuracy of  frog : 75 %
Accuracy of horse : 62 %
Accuracy of  ship : 72 %
Accuracy of truck : 67 %
Epoch: 8, Iteration:     0 loss: 0.046
Epoch: 8, Iteration:    20 loss: 0.764
Epoch: 8, Iteration:    40 loss: 0.760
Epoch: 8, Iteration:    60 loss: 0.747
Epoch: 8, Iteration:    80 loss: 0.762
Epoch: 8, Iteration:   100 loss: 0.725
Epoch: 8, Iteration:   120 loss: 0.745
Epoch: 8, Iteration:   140 loss: 0.695
Epoch: 8, Iteration:   160 loss: 0.694
Epoch: 8, Iteration:   180 loss: 0.743
Epoch: 8, Iteration:   200 loss: 0.755
Epoch: 8, Iteration:   220 loss: 0.715
Epoch: 8, Iteration:   240 loss: 0.726
Epoch: 8, Iteration:   260 loss: 0.697
Epoch: 8, Iteration:   280 loss: 0.725
Epoch: 8, Iteration:   300 loss: 0.674
Epoch: 8, Iteration:   320 loss: 0.701
Epoch: 8, Iteration:   340 loss: 0.734
Epoch: 8, Iteration:   360 loss: 0.751
Epoch: 8, Iteration:   380 loss: 0.736
Epoch: 8, Iteration:   400 loss: 0.714
Epoch: 8, Iteration:   420 loss: 0.706
Epoch: 8, Iteration:   440 loss: 0.727
Epoch: 8, Iteration:   460 loss: 0.735
Epoch: 8, Iteration:   480 loss: 0.737
Epoch: 8, Iteration:   500 loss: 0.721
Epoch: 8, Iteration:   520 loss: 0.652
Epoch: 8, Iteration:   540 loss: 0.661
Epoch: 8, Iteration:   560 loss: 0.703
Epoch: 8, Iteration:   580 loss: 0.697
Epoch: 8, Iteration:   600 loss: 0.726
Epoch: 8, Iteration:   620 loss: 0.735
Epoch: 8, Iteration:   640 loss: 0.704
Epoch: 8, Iteration:   660 loss: 0.716
Epoch: 8, Iteration:   680 loss: 0.717
Epoch: 8, Iteration:   700 loss: 0.700
Epoch: 8, Iteration:   720 loss: 0.680
Epoch: 8, Iteration:   740 loss: 0.731
Epoch: 8, Iteration:   760 loss: 0.650
Epoch: 8, Iteration:   780 loss: 0.675
Loss: 1.085
Accuracy of the network on the 10000 test images: 64 %
Accuracy of plane : 75 %
