Files already downloaded and verified
Files already downloaded and verified
Epoch: 9, Iteration:    40 loss: 0.729
Epoch: 9, Iteration:    60 loss: 0.639
Epoch: 9, Iteration:    80 loss: 0.625
Epoch: 9, Iteration:   100 loss: 0.628
Epoch: 9, Iteration:   120 loss: 0.583
Epoch: 9, Iteration:   140 loss: 0.628
Epoch: 9, Iteration:   160 loss: 0.652
Epoch: 9, Iteration:   180 loss: 0.638
Epoch: 9, Iteration:   200 loss: 0.678
Epoch: 9, Iteration:   220 loss: 0.656
Epoch: 9, Iteration:   240 loss: 0.687
Epoch: 9, Iteration:   260 loss: 0.580
Epoch: 9, Iteration:   280 loss: 0.670
Epoch: 9, Iteration:   300 loss: 0.636
Epoch: 9, Iteration:   320 loss: 0.675
Epoch: 9, Iteration:   340 loss: 0.633
Epoch: 9, Iteration:   360 loss: 0.650
Epoch: 9, Iteration:   380 loss: 0.649
Epoch: 9, Iteration:   400 loss: 0.636
Epoch: 9, Iteration:   420 loss: 0.658
Epoch: 9, Iteration:   440 loss: 0.612
Epoch: 9, Iteration:   460 loss: 0.643
Epoch: 9, Iteration:   480 loss: 0.622
Epoch: 9, Iteration:   500 loss: 0.631
Epoch: 9, Iteration:   520 loss: 0.616
Epoch: 9, Iteration:   540 loss: 0.618
Epoch: 9, Iteration:   560 loss: 0.656
Epoch: 9, Iteration:   580 loss: 0.623
Epoch: 9, Iteration:   600 loss: 0.670
Epoch: 9, Iteration:   620 loss: 0.627
Epoch: 9, Iteration:   640 loss: 0.613
Epoch: 9, Iteration:   660 loss: 0.613
Epoch: 9, Iteration:   680 loss: 0.577
Epoch: 9, Iteration:   700 loss: 0.695
Epoch: 9, Iteration:   720 loss: 0.625
Epoch: 9, Iteration:   740 loss: 0.662
Epoch: 9, Iteration:   760 loss: 0.679
Epoch: 9, Iteration:   780 loss: 0.627
Loss: 1.094
Accuracy of the network on the 10000 test images: 62 %
Accuracy of plane : 73 %
Accuracy of   car : 74 %
Accuracy of  bird : 50 %
Accuracy of   cat : 49 %
Accuracy of  deer : 50 %
Accuracy of   dog : 52 %
Accuracy of  frog : 71 %
Accuracy of horse : 64 %
Accuracy of  ship : 79 %
Accuracy of truck : 64 %
Epoch     9: reducing learning rate of group 0 to 1.0000e-03.
Epoch: 10, Iteration:     0 loss: 0.030
Epoch: 10, Iteration:    20 loss: 0.587
Epoch: 10, Iteration:    40 loss: 0.563
Epoch: 10, Iteration:    60 loss: 0.563
Epoch: 10, Iteration:    80 loss: 0.593
Epoch: 10, Iteration:   100 loss: 0.597
Epoch: 10, Iteration:   120 loss: 0.568
Epoch: 10, Iteration:   140 loss: 0.597
Epoch: 10, Iteration:   160 loss: 0.559
Epoch: 10, Iteration:   180 loss: 0.564
Epoch: 10, Iteration:   200 loss: 0.614
Epoch: 10, Iteration:   220 loss: 0.579
Epoch: 10, Iteration:   240 loss: 0.577
Epoch: 10, Iteration:   260 loss: 0.553
Epoch: 10, Iteration:   280 loss: 0.574
Epoch: 10, Iteration:   300 loss: 0.544
Epoch: 10, Iteration:   320 loss: 0.592
Epoch: 10, Iteration:   340 loss: 0.525
Epoch: 10, Iteration:   360 loss: 0.556
Epoch: 10, Iteration:   380 loss: 0.608
Epoch: 10, Iteration:   400 loss: 0.581
Epoch: 10, Iteration:   420 loss: 0.549
Epoch: 10, Iteration:   440 loss: 0.525
Epoch: 10, Iteration:   460 loss: 0.606
Epoch: 10, Iteration:   480 loss: 0.577
Epoch: 10, Iteration:   500 loss: 0.534
Epoch: 10, Iteration:   520 loss: 0.616
Epoch: 10, Iteration:   540 loss: 0.554
Epoch: 10, Iteration:   560 loss: 0.600
Epoch: 10, Iteration:   580 loss: 0.542
Epoch: 10, Iteration:   600 loss: 0.596
Epoch: 10, Iteration:   620 loss: 0.599
Epoch: 10, Iteration:   640 loss: 0.563
Epoch: 10, Iteration:   660 loss: 0.566
Epoch: 10, Iteration:   680 loss: 0.590
Epoch: 10, Iteration:   700 loss: 0.558
Epoch: 10, Iteration:   720 loss: 0.565
Epoch: 10, Iteration:   740 loss: 0.592
Epoch: 10, Iteration:   760 loss: 0.645
Epoch: 10, Iteration:   780 loss: 0.546
Loss: 1.101
Accuracy of the network on the 10000 test images: 63 %
Accuracy of plane : 75 %
Accuracy of   car : 76 %
Accuracy of  bird : 55 %
Accuracy of   cat : 49 %
Accuracy of  deer : 49 %
Accuracy of   dog : 52 %
Accuracy of  frog : 73 %
Accuracy of horse : 60 %
Accuracy of  ship : 81 %
Accuracy of truck : 65 %
Epoch: 11, Iteration:     0 loss: 0.032
Epoch: 11, Iteration:    20 loss: 0.578
Epoch: 11, Iteration:    40 loss: 0.523
Epoch: 11, Iteration:    60 loss: 0.597
Epoch: 11, Iteration:    80 loss: 0.560
Epoch: 11, Iteration:   100 loss: 0.592
Epoch: 11, Iteration:   120 loss: 0.547
Epoch: 11, Iteration:   140 loss: 0.552
Epoch: 11, Iteration:   160 loss: 0.574
Epoch: 11, Iteration:   180 loss: 0.564
Epoch: 11, Iteration:   200 loss: 0.558
Epoch: 11, Iteration:   220 loss: 0.610
Epoch: 11, Iteration:   240 loss: 0.515
Epoch: 11, Iteration:   260 loss: 0.570
Epoch: 11, Iteration:   280 loss: 0.595
Epoch: 11, Iteration:   300 loss: 0.539
Epoch: 11, Iteration:   320 loss: 0.533
Epoch: 11, Iteration:   340 loss: 0.607
Epoch: 11, Iteration:   360 loss: 0.536
Epoch: 11, Iteration:   380 loss: 0.536
Epoch: 11, Iteration:   400 loss: 0.561
Epoch: 11, Iteration:   420 loss: 0.545
Epoch: 11, Iteration:   440 loss: 0.557
Epoch: 11, Iteration:   460 loss: 0.559
Epoch: 11, Iteration:   480 loss: 0.583
Epoch: 11, Iteration:   500 loss: 0.563
Epoch: 11, Iteration:   520 loss: 0.545
Epoch: 11, Iteration:   540 loss: 0.553
Epoch: 11, Iteration:   560 loss: 0.608
Epoch: 11, Iteration:   580 loss: 0.574
Epoch: 11, Iteration:   600 loss: 0.577
Epoch: 11, Iteration:   620 loss: 0.588
Epoch: 11, Iteration:   640 loss: 0.565
Epoch: 11, Iteration:   660 loss: 0.565
Epoch: 11, Iteration:   680 loss: 0.566
Epoch: 11, Iteration:   700 loss: 0.554
Epoch: 11, Iteration:   720 loss: 0.547
Epoch: 11, Iteration:   740 loss: 0.583
Epoch: 11, Iteration:   760 loss: 0.541
Epoch: 11, Iteration:   780 loss: 0.539
Loss: 1.107
Accuracy of the network on the 10000 test images: 63 %
Accuracy of plane : 75 %
Accuracy of   car : 76 %
Accuracy of  bird : 55 %
Accuracy of   cat : 49 %
Accuracy of  deer : 50 %
Accuracy of   dog : 55 %
Accuracy of  frog : 73 %
Accuracy of horse : 60 %
Accuracy of  ship : 81 %
Accuracy of truck : 65 %
Epoch    11: reducing learning rate of group 0 to 1.0000e-04.
Epoch: 12, Iteration:     0 loss: 0.023
Epoch: 12, Iteration:    20 loss: 0.578
Epoch: 12, Iteration:    40 loss: 0.558
Epoch: 12, Iteration:    60 loss: 0.571
Epoch: 12, Iteration:    80 loss: 0.551
Epoch: 12, Iteration:   100 loss: 0.583
Epoch: 12, Iteration:   120 loss: 0.565
